PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40080036,Clinical Spectrum of Toxocariasis: A Retrospective Study From a Tertiary Care Center in Lebanon.,2025 Mar 13,"El Meski N, El Ayoubi LW, Hassani S, Bidikian N, Zakhour J, Bou Khalil J, Kanafani ZA, Kanj SS",,Unknown
40080024,Cancer Mortality Rates in Female Veterans With and Without TBI.,2025 Mar 3,"DeStefano CB, Cheever K, Howard JT, Amuan M, Stewart IJ, Pugh MJ",,Unknown
40080018,"Area Socioeconomic Status, Vaccination Access, and Female Human Papillomavirus Vaccination.",2025 Mar 3,"Oka E, Okada M, Ikuno Y, Amano K, Shioya S, Kawabata M, Sakurai R, Konishi M, Nakaya T, Katanoda K, Ueda Y, Ito Y",,Unknown
40080017,Health Care Contact Days for Older Adults Enrolled in Cancer Clinical Trials.,2025 Mar 3,"Gupta A, Till C, Vaidya R, Hershman DL, Unger JM",,Unknown
40079977,Retractions in Otolaryngology Publications.,2025 Mar 13,"Edalati S, Chung T, Govindaraj M, Kraft D, Lerner DK, Del Signore A, Iloreta AM",,Unknown
40079965,Genetic and Demographic Determinants of Fuchs Endothelial Corneal Dystrophy Risk and Severity.,2025 Mar 13,"Liu S, Sadan AN, Bhattacharyya N, Zarouchlioti C, Szabo A, Abreu Costa M, Hafford-Tear NJ, Kladny AS, Dudakova L, Ciosi M, Moghul I, Wilkins MR, Allan B, Skalicka P, Hardcastle AJ, Pontikos N, Bunce C, Monckton DG, Muthusamy K, Liskova P, Tuft SJ, Davidson AE",,Unknown
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial.,2025 Mar 13,"Haddad R, Fayette J, Teixeira M, Prabhash K, Mesia R, Kawecki A, Dechaphunkul A, Dinis J, Guo Y, Masuda M, Hsieh CY, Ghi MG, Vaz de Melo Sette C, Harrington K, Tahara M, Saba NF, Lau A, Jiang T, Yan Y, Ballinger M, Kaul M, Matheny C, Cuchelkar V, Wong DJ",,Unknown
40079941,"Prognostic significance of Ki-67 in assessing the risk of progression, relapse or metastasis in pheochromocytomas and paragangliomas.",2025 Dec,"Luo Z, Yan X, Liu Y, Nan F, Lei Y, Ren Y, Li L",,Unknown
40079940,Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial.,2025 Mar 13,"Liang YL, Liu X, Shen LF, Hu GY, Zou GR, Zhang N, Chen CB, Chen XZ, Zhu XD, Yuan YW, Yang KY, Jin F, Hu WH, Xie FY, Huang Y, Han F, Tang LL, Mao YP, Lu LX, Sun R, He YX, Zhou YY, Long GX, Tang J, Chen LS, Zong JF, Jin T, Li L, Lin J, Huang J, Gong XY, Zhou GQ, Chen L, Li WF, Chen YP, Xu C, Lin L, Huang SH, Huang SW, Wang YQ, Huang CL, Feng HX, Hou M, Chen CH, Zheng SF, Li YQ, Hong SB, Jie YS, Li H, Yun JP, Zang SB, Liu SR, Lin QG, Li HJ, Tian L, Liu LZ, Zhao HY, Li JB, Lin AH, Liu N, Zhang Y, Guo R, Ma J, Sun Y",,Unknown
40079843,The transcription factor RORα is required for the development of type 1 innate lymphoid cells in adult bone marrow.,2025 Mar 13,"Abe S, Kagao M, Asahi T, Kato R, Tani-Ichi S, Shimba A, Ishibashi R, Miyachi H, Kitano S, Miyazaki M, Rodewald HR, Toyoshima F, Ikuta K",,Unknown
